protein,category,category_id,degree,clustering,betweenness
CASP6,Apoptosis,1,11,0.7090909090909091,2.152958639001332e-05
RHEB,PI3K-AKT-MTOR,5,10,0.7333333333333333,0.00013923947164122378
AKT1S1,PI3K-AKT-MTOR,5,8,0.8928571428571429,1.4407888171459865e-05
CDKN2C,Cell cycle,0,6,0.9333333333333333,0.0
LATS2,Other,13,8,0.5357142857142857,0.003014009346416057
CCNB2,Cell cycle,0,11,0.8181818181818182,2.105466904317479e-05
IL6ST,JAK-STAT,10,9,0.9722222222222222,5.33777458736032e-06
ARHGEF2,Other,13,3,0.6666666666666666,0.00022026714176713233
PHLPP2,PI3K-AKT-MTOR,5,3,0.6666666666666666,3.7993387747082327e-06
BAD,Apoptosis,1,10,0.6666666666666666,0.0005208258574742456
BAK1,Apoptosis,1,9,0.8333333333333334,0.0
BMF,Apoptosis,1,7,0.9047619047619048,2.6725740890717225e-06
IFNGR2,JAK-STAT,10,4,1.0,0.0
TCF7L1,Transcription,4,3,0.3333333333333333,0.0037324973199568106
SPRY1,MAPK signaling,6,2,1.0,0.0
FZD5,Wnt signaling,7,5,0.7,3.3244214278697036e-06
FZD4,Wnt signaling,7,6,0.4,0.0018006270878065675
DVL3,Wnt signaling,7,4,1.0,0.0
MOB1B,Other,13,2,1.0,0.0
NRP2,Angiogenesis,12,2,1.0,0.0
TAZ,Transcription,4,1,0.0,0.0
ERCC1,DNA repair,2,10,0.6444444444444445,5.285033171819674e-05
PLK1,Cell cycle,0,24,0.5615942028985508,0.006075833378559752
BCL2,Apoptosis,1,50,0.37795918367346937,0.02072996338359979
POLE,DNA repair,2,13,0.5641025641025641,0.0001240060054958171
MET,RTK signaling,3,21,0.5333333333333333,0.0006150305909226839
CTNNB1,Wnt signaling,7,64,0.283234126984127,0.053916550107999
MGMT,DNA repair,2,18,0.5555555555555556,0.00026838578062561124
PMS2,DNA repair,2,12,0.5606060606060606,0.00020140601116363827
FANCA,DNA repair,2,11,0.6181818181818182,0.0001321191985156746
PARP1,DNA repair,2,38,0.44096728307254623,0.014102415004837113
